Timestamp,EAR,MAR,Eye_Status,Mouth_Status,Eye_Counter,Mouth_Counter
2026-06-17 03:26:17.747,0.3423,0.0472,Normal,Normal,0,0
2026-06-17 03:26:17.768,0.3423,0.0472,Normal,Normal,0,0
2026-06-17 03:26:17.845,0.337,0.0479,Normal,Normal,0,0
2026-06-17 03:26:17.866,0.337,0.0303,Normal,Normal,0,0
2026-06-17 03:26:17.886,0.337,0.0303,Normal,Normal,0,0
2026-06-17 03:26:17.943,0.3248,0.0303,Normal,Normal,0,0
2026-06-17 03:26:17.965,0.3355,0.0303,Normal,Normal,0,0
2026-06-17 03:26:17.988,0.3363,0.0298,Normal,Normal,0,0
2026-06-17 03:26:18.052,0.3365,0.0298,Normal,Normal,0,0
2026-06-17 03:26:18.072,0.336,0.0298,Normal,Normal,0,0
2026-06-17 03:26:18.093,0.3101,0.0298,Normal,Normal,0,0
2026-06-17 03:26:18.150,0.3137,0.0298,Normal,Normal,0,0
2026-06-17 03:26:18.170,0.3137,0.0298,Normal,Normal,0,0
2026-06-17 03:26:18.192,0.3176,0.0334,Normal,Normal,0,0
2026-06-17 03:26:18.252,0.3061,0.0448,Normal,Normal,0,0
2026-06-17 03:26:18.275,0.3049,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.299,0.3049,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.344,0.3014,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.370,0.3137,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.395,0.3141,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.461,0.2988,0.0448,Normal,Normal,0,0
2026-06-17 03:26:18.487,0.2989,0.0448,Normal,Normal,0,0
2026-06-17 03:26:18.509,0.2989,0.0448,Normal,Normal,0,0
2026-06-17 03:26:18.548,0.2866,0.0448,Normal,Normal,0,0
2026-06-17 03:26:18.570,0.2866,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.591,0.2753,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.649,0.2753,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.669,0.2743,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.690,0.2738,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.741,0.2738,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.761,0.2776,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.781,0.2743,0.0472,Normal,Normal,0,0
2026-06-17 03:26:18.852,0.2738,0.0472,Normal,Normal,0,0
2026-06-17 03:26:18.872,0.2742,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.892,0.272,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.948,0.2742,0.0454,Normal,Normal,0,0
2026-06-17 03:26:18.969,0.2707,0.0472,Normal,Normal,0,0
2026-06-17 03:26:18.990,0.2742,0.0454,Normal,Normal,0,0
2026-06-17 03:26:19.046,0.2865,0.0455,Normal,Normal,0,0
2026-06-17 03:26:19.066,0.2832,0.0448,Normal,Normal,0,0
2026-06-17 03:26:19.086,0.2799,0.0625,Normal,Normal,0,0
2026-06-17 03:26:19.140,0.2832,0.0454,Normal,Normal,0,0
2026-06-17 03:26:19.161,0.2679,0.0455,Normal,Normal,0,0
2026-06-17 03:26:19.181,0.2826,0.0615,Normal,Normal,0,0
2026-06-17 03:26:19.256,0.2799,0.0606,Normal,Normal,0,0
2026-06-17 03:26:19.278,0.2926,0.0454,Normal,Normal,0,0
2026-06-17 03:26:19.299,0.2919,0.0448,Normal,Normal,0,0
2026-06-17 03:26:19.356,0.2939,0.0624,Normal,Normal,0,0
2026-06-17 03:26:19.378,0.2978,0.0606,Normal,Normal,0,0
2026-06-17 03:26:19.402,0.2947,0.0448,Normal,Normal,0,0
2026-06-17 03:26:19.450,0.3105,0.0448,Normal,Normal,0,0
2026-06-17 03:26:19.472,0.2974,0.0597,Normal,Normal,0,0
2026-06-17 03:26:19.492,0.319,0.0606,Normal,Normal,0,0
2026-06-17 03:26:19.543,0.322,0.0605,Normal,Normal,0,0
2026-06-17 03:26:19.563,0.3181,0.0605,Normal,Normal,0,0
2026-06-17 03:26:19.585,0.3387,0.0605,Normal,Normal,0,0
2026-06-17 03:26:19.652,0.3424,0.0605,Normal,Normal,0,0
2026-06-17 03:26:19.674,0.3344,0.0454,Normal,Normal,0,0
2026-06-17 03:26:19.694,0.3385,0.0454,Normal,Normal,0,0
2026-06-17 03:26:19.748,0.3518,0.0461,Normal,Normal,0,0
2026-06-17 03:26:19.778,0.3568,0.0454,Normal,Normal,0,0
2026-06-17 03:26:19.800,0.345,0.046,Normal,Normal,0,0
2026-06-17 03:26:19.848,0.3456,0.0484,Normal,Normal,0,0
2026-06-17 03:26:19.868,0.3315,0.0622,Normal,Normal,0,0
2026-06-17 03:26:19.889,0.332,0.0622,Normal,Normal,0,0
2026-06-17 03:26:19.940,0.307,0.079,Normal,Normal,0,0
2026-06-17 03:26:19.960,0.2795,0.0963,Normal,Normal,0,0
2026-06-17 03:26:19.981,0.2696,0.0977,Normal,Normal,0,0
2026-06-17 03:26:20.052,0.2302,0.1061,Normal,Normal,0,0
2026-06-17 03:26:20.073,0.2143,0.1484,Normal,Normal,0,0
2026-06-17 03:26:20.094,0.1862,0.1723,Normal,Normal,0,0
2026-06-17 03:26:20.153,0.1647,0.122,Closed,Normal,1,0
2026-06-17 03:26:20.173,0.1399,0.1453,Closed,Normal,2,0
2026-06-17 03:26:20.194,0.1115,0.1426,Closed,Normal,3,0
2026-06-17 03:26:20.248,0.1132,0.111,Closed,Normal,4,0
2026-06-17 03:26:20.268,0.0931,0.1111,Closed,Normal,5,0
2026-06-17 03:26:20.291,0.0883,0.1111,Closed,Normal,6,0
2026-06-17 03:26:20.340,0.1053,0.0909,Closed,Normal,7,0
2026-06-17 03:26:20.361,0.094,0.0936,Closed,Normal,8,0
2026-06-17 03:26:20.381,0.1092,0.0936,Closed,Normal,9,0
2026-06-17 03:26:20.456,0.1142,0.0681,Closed,Normal,10,0
2026-06-17 03:26:20.477,0.1172,0.0443,Closed,Normal,11,0
2026-06-17 03:26:20.497,0.1134,0.0217,Closed,Normal,12,0
2026-06-17 03:26:20.552,0.138,0.0227,Closed,Normal,13,0
2026-06-17 03:26:20.573,0.0977,0.0464,Closed,Normal,14,0
2026-06-17 03:26:20.594,0.1039,0.0475,Closed,Normal,15,0
2026-06-17 03:26:20.647,0.1137,0.0697,Closed,Normal,16,0
2026-06-17 03:26:20.667,0.1121,0.0682,Closed,Normal,17,0
2026-06-17 03:26:20.687,0.115,0.0735,Closed,Normal,18,0
2026-06-17 03:26:20.740,0.128,0.0667,Closed,Normal,19,0
2026-06-17 03:26:20.761,0.1261,0.0909,Closed,Normal,20,0
2026-06-17 03:26:20.781,0.1425,0.0937,Closed,Normal,21,0
2026-06-17 03:26:20.852,0.161,0.0889,Closed,Normal,22,0
